log_text,block_id,error_count,duration,test_failed,coverage,cpu_usage,memory_usage,past_failures,status,Failure_Risk,Performance_Risk,Test_Risk,Security_Risk
081110 115742 10672 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_6017354285686373326 terminating,blk_6017354285686373326,0,62,0,86,37,39,0,0,0,0,0,0
081111 031938 16978 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_2819581679409796253 terminating,blk_2819581679409796253,1,73,0,91,50,54,1,0,0,0,0,0
081111 023015 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_-5362598472846558076 is added to invalidSet of 10.250.14.143:50010,blk_-5362598472846558076,1,92,1,80,38,52,1,0,0,0,0,0
081110 131806 11757 WARN dfs.DataNode$DataXceiver: 10.251.26.177:50010:Got exception while serving blk_3848747149919646864 to /10.251.125.174:,blk_3848747149919646864,1,73,0,96,46,50,1,0,0,0,0,0
081110 163007 13812 INFO dfs.DataNode$DataXceiver: 10.251.67.225:50010 Served block blk_5240632065631390212 to /10.251.67.225,blk_5240632065631390212,3,154,2,52,87,83,3,1,1,1,1,0
081110 103533 18 INFO dfs.FSDataset: Deleting block blk_826351419727053015 file /mnt/hadoop/dfs/data/current/subdir6/blk_826351419727053015,blk_826351419727053015,2,42,2,80,34,45,1,0,0,0,1,0
081110 210515 19 INFO dfs.FSDataset: Deleting block blk_-1535908830476495455 file /mnt/hadoop/dfs/data/current/subdir10/blk_-1535908830476495455,blk_-1535908830476495455,1,100,1,85,41,35,1,0,0,0,0,0
081109 234835 3972 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-7436749154361133879 terminating,blk_-7436749154361133879,1,64,0,88,34,55,0,0,0,0,0,0
081110 230315 16811 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-6454539193224916125 terminating,blk_-6454539193224916125,1,119,1,87,48,53,0,0,0,0,0,0
081110 210534 19 INFO dfs.FSDataset: Deleting block blk_5905689738251144455 file /mnt/hadoop/dfs/data/current/blk_5905689738251144455,blk_5905689738251144455,1,77,2,88,60,43,0,0,0,0,1,0
081110 210704 19 INFO dfs.FSDataset: Deleting block blk_8929806114713265094 file /mnt/hadoop/dfs/data/current/subdir1/blk_8929806114713265094,blk_8929806114713265094,1,59,1,86,47,49,0,0,0,0,1,0
081111 044612 19 INFO dfs.FSDataset: Deleting block blk_-6350492516478706425 file /mnt/hadoop/dfs/data/current/subdir36/blk_-6350492516478706425,blk_-6350492516478706425,1,41,0,83,32,39,1,0,0,0,0,0
081110 210354 19 INFO dfs.FSDataset: Deleting block blk_-6901909114834172466 file /mnt/hadoop/dfs/data/current/subdir57/blk_-6901909114834172466,blk_-6901909114834172466,1,97,0,96,50,35,0,0,0,0,0,0
081110 032126 6555 WARN dfs.DataNode$DataXceiver: 10.251.26.8:50010:Got exception while serving blk_-7983508786213002472 to /10.251.38.197:,blk_-7983508786213002472,1,67,0,100,43,26,0,0,0,0,0,0
081111 085620 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.122.79:50010 is added to blk_-2895171018912807248 size 67108864,blk_-2895171018912807248,2,55,2,92,57,36,1,0,0,0,1,0
081110 175934 12298 WARN dfs.DataNode$DataXceiver: 10.251.107.50:50010:Got exception while serving blk_-4737948505610037427 to /10.251.75.79:,blk_-4737948505610037427,2,72,1,85,56,27,0,0,0,0,0,0
081110 012753 5586 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-4566099704755845087 terminating,blk_-4566099704755845087,2,61,0,97,34,50,0,0,0,0,0,0
081110 103027 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_8350646254685996250 is added to invalidSet of 10.251.199.159:50010,blk_8350646254685996250,0,67,1,85,36,42,1,0,0,0,0,0
081109 212245 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,blk_2513940824125131775,0,89,1,91,57,38,1,0,0,0,0,0
081110 110353 9313 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_2974262690755997396 terminating,blk_2974262690755997396,1,43,1,96,38,48,1,0,0,0,1,0
081110 163625 13543 INFO dfs.DataNode$DataXceiver: 10.251.106.50:50010 Served block blk_-8907436477337775860 to /10.251.106.50,blk_-8907436477337775860,1,96,1,86,45,50,1,0,0,0,1,0
081111 065254 19 INFO dfs.FSNamesystem: BLOCK* ask 10.250.17.177:50010 to delete  blk_-8570780307468499817 blk_-9122557405432088649 blk_-4393063808227796056 blk_8767569714374844347 blk_7079754042611867581 blk_7608961006114219538 blk_-5017273584996436939 blk_-6537833125980536955 blk_7610838808763810123 blk_3300803097775546532 blk_-5120750586032922592 blk_1577274266662884430 blk_765879159867598347 blk_-9076085976403711202 blk_-3198963348573340497 blk_-4645750029177277209 blk_-5136142986912961316 blk_5677959846373741243 blk_2107477892986152528 blk_-4235116161537008844 blk_6082535783543982566 blk_-4809870147222033236 blk_8818706925296961012 blk_-5203577173046267127 blk_189089569009261656 blk_446299976487589160 blk_-3916247521166632303 blk_-3324962406687427922 blk_-1807424528783081572 blk_-6858401049333055963 blk_6036564204960295926 blk_-8140723044408248078 blk_-3800132731140204959 blk_1716344083117307767 blk_-5194808114606613364 blk_-5473871016976323232 blk_2920934363167004552 blk_8736689095894369097 blk_-7642734632751940776 blk_3408482260833769309 blk_118013751374560901 blk_7963891081239759520 blk_3813114133944383323 blk_3042818489384932576 blk_-4570173726231458270 blk_-1564644006975920581 blk_338095650783321996 blk_3150135312641203550 blk_4285859645577726288 blk_3438772130782939627 blk_2634772258588877972 blk_-6795664812575964130 blk_3923069610304693233 blk_-1782996202120067721 blk_2004418049430157212 blk_1932147224007687756 blk_-582901062969027153 blk_5072240701440032119 blk_-7919006477393039068 blk_-7318022361288598312 blk_-6974693594143537436 blk_-5435767047126325206 blk_-5805500288959332434 blk_-7109885589081848850 blk_2161580591957523893 blk_7240227881194993860 blk_-8298405680648445349 blk_-4253026248821272215 blk_8377661448601579317 blk_8029153852899017155 blk_-8754388319080705916 blk_-7844092300527332901 blk_710178463364063355 blk_-5136849989188547884 blk_8393887138377503163 blk_-6950176077776664217 blk_-6488701068659548195 blk_2537458728254532453 blk_364441107933628577 blk_6207861897580168557 blk_8814943807366894581 blk_-4150682644311695471 blk_9174833667156726933 blk_649427218152856001 blk_-7403541028238011236 blk_-334982586592048773 blk_61908781908925992 blk_6385574357371832424 blk_-66376131060945541 blk_1372596948297458670 blk_-3389135155401857220 blk_-6035411221441929663 blk_-5127580069634421247 blk_-5685246533892022418 blk_4977937528993040451 blk_5680538862600094527 blk_-8378747462487962732 blk_425101290285860876 blk_6306622708327890839 blk_-1067866602168873257,blk_-8570780307468499817,2,113,1,84,51,51,0,0,0,0,1,0
081111 033444 18940 INFO dfs.DataNode$DataXceiver: Receiving block blk_-1690784932539647416 src: /10.251.31.180:50205 dest: /10.251.31.180:50010,blk_-1690784932539647416,0,108,2,82,41,52,0,0,0,0,1,0
081110 210147 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_753559000954836892 is added to invalidSet of 10.251.30.101:50010,blk_753559000954836892,2,119,0,98,46,33,1,0,0,0,0,0
081110 225947 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.227:50010 is added to blk_1594026090263820445 size 67108864,blk_1594026090263820445,1,107,1,85,51,32,0,0,0,0,0,0
081110 104834 9213 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-4624597753370705281 terminating,blk_-4624597753370705281,1,43,1,97,39,35,1,0,0,0,1,0
081110 122121 10760 INFO dfs.DataNode$DataXceiver: Receiving block blk_-3673133694834392576 src: /10.251.109.209:49088 dest: /10.251.109.209:50010,blk_-3673133694834392576,0,44,1,89,37,27,1,0,0,0,1,0
081110 103618 19 INFO dfs.FSDataset: Deleting block blk_2278708746675870163 file /mnt/hadoop/dfs/data/current/subdir27/blk_2278708746675870163,blk_2278708746675870163,1,107,1,95,53,39,1,0,0,0,1,0
081110 121943 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_001335_0/part-01335. blk_-2541428592126088938,blk_-2541428592126088938,2,111,1,90,36,28,0,0,0,0,0,0
081111 041532 19592 INFO dfs.DataNode$DataXceiver: Receiving block blk_1074754942323612586 src: /10.251.202.181:45279 dest: /10.251.202.181:50010,blk_1074754942323612586,2,100,2,92,32,53,0,0,0,0,1,0
081111 075158 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand6/_temporary/_task_200811101024_0013_m_002009_1/part-02009. blk_-7367386750462511488,blk_-7367386750462511488,1,63,1,89,45,25,1,0,0,0,0,0
081111 084842 24787 INFO dfs.DataNode$PacketResponder: Received block blk_-8789402864074203800 of size 67108864 from /10.251.193.224,blk_-8789402864074203800,1,46,2,83,50,49,1,0,0,0,1,0
081111 072901 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.91.32:50010 is added to blk_-8127580564011467092 size 67108864,blk_-8127580564011467092,2,70,1,89,41,46,0,0,0,0,1,0
081110 152613 13407 INFO dfs.DataNode$DataXceiver: Receiving block blk_1321799290531408498 src: /10.251.126.255:43447 dest: /10.251.126.255:50010,blk_1321799290531408498,1,86,1,86,36,44,0,0,0,0,1,0
081110 123132 11170 INFO dfs.DataNode$PacketResponder: Received block blk_8968608251219902913 of size 67108864 from /10.251.195.52,blk_8968608251219902913,1,61,2,89,47,26,0,0,0,0,1,0
081110 220238 15679 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-1733154814375651491 terminating,blk_-1733154814375651491,1,93,1,84,59,45,0,0,0,0,0,0
081110 210549 19 INFO dfs.FSDataset: Deleting block blk_6085442148007558065 file /mnt/hadoop/dfs/data/current/subdir63/blk_6085442148007558065,blk_6085442148007558065,2,114,2,95,59,26,1,0,0,0,1,0
081110 104224 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_000346_0/part-00346. blk_-2016403519138424998,blk_-2016403519138424998,2,50,1,85,55,34,0,0,0,0,0,0
081111 063636 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.192:50010 is added to blk_8521306385156958668 size 67108864,blk_8521306385156958668,1,96,1,85,45,52,1,0,0,0,0,0
081111 065538 19 INFO dfs.FSDataset: Deleting block blk_5771906433100975293 file /mnt/hadoop/dfs/data/current/subdir37/blk_5771906433100975293,blk_5771906433100975293,2,33,1,89,34,47,1,0,0,0,1,0
081111 061900 21890 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-6220821375880228145 terminating,blk_-6220821375880228145,2,78,1,86,46,39,0,0,0,0,1,0
081111 040604 19555 INFO dfs.DataNode$PacketResponder: Received block blk_3813891701916249413 of size 67108864 from /10.251.121.224,blk_3813891701916249413,0,97,2,82,53,53,0,0,0,0,1,0
081111 030236 18183 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-4165562468976768862 terminating,blk_-4165562468976768862,2,114,2,92,49,47,0,0,0,0,1,0
081111 034351 18690 INFO dfs.DataNode$PacketResponder: Received block blk_-577659324269246113 of size 67108864 from /10.251.203.179,blk_-577659324269246113,2,87,0,94,30,43,0,0,0,0,0,0
081111 075920 19 INFO dfs.FSDataset: Deleting block blk_5453150794205420798 file /mnt/hadoop/dfs/data/current/subdir24/blk_5453150794205420798,blk_5453150794205420798,2,45,2,97,53,53,1,0,0,0,1,0
081110 103626 18 INFO dfs.FSDataset: Deleting block blk_-1599621098605751235 file /mnt/hadoop/dfs/data/current/subdir16/blk_-1599621098605751235,blk_-1599621098605751235,0,92,0,92,49,48,0,0,0,0,0,0
081110 111647 9920 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-1751996688557225241 terminating,blk_-1751996688557225241,0,103,1,93,59,41,0,0,0,0,0,0
081109 223211 3544 INFO dfs.DataNode$DataXceiver: 10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,blk_6296828743242110158,2,76,1,94,34,45,0,0,0,0,0,0
081111 085916 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_2869833078504290822 is added to invalidSet of 10.251.123.132:50010,blk_2869833078504290822,0,116,1,85,60,31,1,0,0,0,0,0
081110 103600 19 INFO dfs.FSDataset: Deleting block blk_-6127741703501838658 file /mnt/hadoop/dfs/data/current/subdir53/blk_-6127741703501838658,blk_-6127741703501838658,2,92,1,84,56,41,0,0,0,0,0,0
081109 234555 4345 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_8320088109701056055 terminating,blk_8320088109701056055,1,55,1,92,57,52,1,0,0,0,0,0
081111 044315 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_3539852484771802299 is added to invalidSet of 10.250.19.227:50010,blk_3539852484771802299,0,72,2,82,40,26,1,0,0,0,1,0
081111 075746 19 INFO dfs.FSDataset: Deleting block blk_-8443921001690182522 file /mnt/hadoop/dfs/data/current/subdir33/blk_-8443921001690182522,blk_-8443921001690182522,1,36,0,84,35,50,1,0,0,0,0,0
081110 210151 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_5496448884081025648 is added to invalidSet of 10.251.123.195:50010,blk_5496448884081025648,1,84,0,97,53,38,0,0,0,0,0,0
081111 085429 25314 INFO dfs.DataNode$PacketResponder: Received block blk_-6719337521981113643 of size 3538321 from /10.250.15.198,blk_-6719337521981113643,0,54,1,80,42,44,0,0,0,0,0,0
081111 072949 23644 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_1508705816376906895 terminating,blk_1508705816376906895,1,55,1,82,44,54,0,0,0,0,1,0
081110 000616 4552 INFO dfs.DataNode$PacketResponder: Received block blk_3463540868626173125 of size 67108864 from /10.251.30.134,blk_3463540868626173125,1,93,0,93,55,52,1,0,0,0,0,0
081111 030950 18479 INFO dfs.DataNode$PacketResponder: Received block blk_-1141332313413855099 of size 67108864 from /10.251.89.155,blk_-1141332313413855099,0,39,1,93,57,41,0,0,0,0,1,0
081110 083231 8530 INFO dfs.DataNode$DataXceiver: 10.250.10.176:50010 Served block blk_3797494971676497497 to /10.251.29.239,blk_3797494971676497497,0,57,2,93,38,34,0,0,0,0,1,0
081109 205858 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,blk_-5319073033164653435,1,111,2,80,57,44,1,0,0,0,1,0
081110 123401 10856 INFO dfs.DataNode$PacketResponder: Received block blk_557803157214911261 of size 67108864 from /10.251.198.196,blk_557803157214911261,1,52,1,89,54,30,0,0,0,0,0,0
081110 103027 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_-3362838757940877177 is added to invalidSet of 10.250.5.161:50010,blk_-3362838757940877177,1,121,1,99,36,33,0,0,0,0,0,0
081110 220648 32 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_-4385347171136037814 is added to invalidSet of 10.251.67.113:50010,blk_-4385347171136037814,1,43,1,83,52,39,0,0,0,0,0,0
081110 103400 19 INFO dfs.FSDataset: Deleting block blk_-8796256534683400159 file /mnt/hadoop/dfs/data/current/subdir18/blk_-8796256534683400159,blk_-8796256534683400159,2,64,2,94,43,37,1,0,0,0,1,0
081110 015031 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.194:50010 is added to blk_-1635752698830216319 size 67108864,blk_-1635752698830216319,0,90,2,91,38,53,0,0,0,0,1,0
081109 234512 4223 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-7640601843607665080 terminating,blk_-7640601843607665080,2,109,2,100,45,34,0,0,0,0,1,0
081110 210537 19 INFO dfs.FSDataset: Deleting block blk_-2210703755506918304 file /mnt/hadoop/dfs/data/current/subdir26/blk_-2210703755506918304,blk_-2210703755506918304,1,118,1,90,59,53,1,0,0,0,1,0
081109 234835 4259 INFO dfs.DataNode$DataXceiver: Receiving block blk_7061131805920430446 src: /10.250.7.32:53397 dest: /10.250.7.32:50010,blk_7061131805920430446,0,32,2,86,53,26,1,0,0,0,1,0
081110 105203 9267 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_391813102554451063 terminating,blk_391813102554451063,1,82,2,96,58,48,0,0,0,0,1,0
081111 083336 24444 INFO dfs.DataNode$PacketResponder: Received block blk_-3845286823494684378 of size 67108864 from /10.251.107.196,blk_-3845286823494684378,1,106,2,85,48,50,1,0,0,0,1,0
081110 103036 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_5178539130945718870 is added to invalidSet of 10.251.107.19:50010,blk_5178539130945718870,0,90,2,93,54,43,1,0,0,0,1,0
081109 214402 2677 WARN dfs.DataNode$DataXceiver: 10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,blk_8376667364205250596,1,66,0,98,38,43,0,0,0,0,0,0
081111 044630 19 INFO dfs.FSDataset: Deleting block blk_-4311652947826112510 file /mnt/hadoop/dfs/data/current/subdir57/blk_-4311652947826112510,blk_-4311652947826112510,2,33,0,86,32,37,0,0,0,0,0,0
081111 051819 20803 INFO dfs.DataNode$PacketResponder: Received block blk_-6464892000340112134 of size 67108864 from /10.250.5.161,blk_-6464892000340112134,1,40,2,91,50,37,0,0,0,0,1,0
081110 103328 19 INFO dfs.FSDataset: Deleting block blk_8303413189200230139 file /mnt/hadoop/dfs/data/current/subdir32/blk_8303413189200230139,blk_8303413189200230139,6,235,5,68,83,85,3,1,1,1,1,1
081110 212509 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.123.33:50010 is added to blk_-6442394521537090621 size 67108864,blk_-6442394521537090621,4,140,5,65,79,71,2,1,1,0,1,0
081111 065500 22388 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-352190670750948803 terminating,blk_-352190670750948803,1,42,1,94,42,32,0,0,0,0,0,0
081111 032544 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.109.209:50010 is added to blk_3764801892187716497 size 67108864,blk_3764801892187716497,1,81,1,84,53,53,0,0,0,0,0,0
081110 144404 12709 INFO dfs.DataNode$DataXceiver: Receiving block blk_728165942214842306 src: /10.251.30.179:57828 dest: /10.251.30.179:50010,blk_728165942214842306,0,75,0,96,49,25,0,0,0,0,0,0
081109 235609 4400 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_4568377692254637284 terminating,blk_4568377692254637284,0,49,0,83,52,26,0,0,0,0,0,0
081111 052846 21358 INFO dfs.DataNode$PacketResponder: Received block blk_5348548743130215090 of size 67108864 from /10.251.39.179,blk_5348548743130215090,2,68,1,99,55,55,0,0,0,0,1,0
081111 101455 26895 INFO dfs.DataNode$DataXceiver: Receiving block blk_2583125615128303019 src: /10.251.71.97:54431 dest: /10.251.71.97:50010,blk_2583125615128303019,1,108,2,100,34,48,1,0,0,0,1,0
081110 072124 7772 WARN dfs.DataNode$DataXceiver: 10.251.42.246:50010:Got exception while serving blk_-7658293778087733436 to /10.251.30.179:,blk_-7658293778087733436,1,115,1,95,44,26,0,0,0,0,1,0
081111 092821 25409 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_5454423648092670683 terminating,blk_5454423648092670683,1,77,1,85,37,45,1,0,0,0,0,0
081111 044338 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_5203504995927133832 is added to invalidSet of 10.250.13.240:50010,blk_5203504995927133832,1,93,2,92,58,47,0,0,0,0,1,0
081110 111748 9582 INFO dfs.DataNode$DataXceiver: Receiving block blk_1057763407402503745 src: /10.251.30.134:36059 dest: /10.251.30.134:50010,blk_1057763407402503745,2,78,1,83,34,52,0,0,0,0,1,0
081111 033426 18894 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-1957299792594627113 terminating,blk_-1957299792594627113,0,109,0,89,46,41,1,0,0,0,0,0
081111 040543 19431 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6250368566161066085 src: /10.251.31.180:42992 dest: /10.251.31.180:50010,blk_-6250368566161066085,2,108,0,93,37,47,0,0,0,0,0,0
081110 215310 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.105.189:50010 is added to blk_-2035996502664501008 size 67108864,blk_-2035996502664501008,1,45,1,83,57,48,0,0,0,0,0,0
081110 142841 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/sortrand2/_temporary/_task_200811101024_0003_r_000258_0/part-00258. blk_387577766066135394,blk_387577766066135394,0,79,1,83,32,37,1,0,0,0,1,0
081110 042826 6827 INFO dfs.DataNode$DataXceiver: 10.251.67.4:50010 Served block blk_-2901225370888235702 to /10.251.91.84,blk_-2901225370888235702,1,47,0,86,41,45,1,0,0,0,0,0
081111 023037 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_2736251498135196075 is added to invalidSet of 10.251.90.64:50010,blk_2736251498135196075,4,160,5,54,78,75,4,1,1,1,1,0
081110 014738 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001377_0/part-01377. blk_-8408087700903896282,blk_-8408087700903896282,1,89,1,95,41,44,1,0,0,0,1,0
081111 070823 22537 INFO dfs.DataNode$PacketResponder: Received block blk_7830067201550857864 of size 67108864 from /10.251.105.189,blk_7830067201550857864,4,183,6,45,91,86,5,1,1,1,1,1
081111 053958 21262 INFO dfs.DataNode$DataXceiver: Receiving block blk_8087142318511408355 src: /10.250.15.67:55334 dest: /10.250.15.67:50010,blk_8087142318511408355,1,80,2,95,52,26,1,0,0,0,1,0
081111 083839 24534 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_4786794545180705888 terminating,blk_4786794545180705888,1,82,0,87,59,43,1,0,0,0,0,0
081111 083506 24609 INFO dfs.DataNode$DataXceiver: Receiving block blk_1122812501843755360 src: /10.251.198.196:51036 dest: /10.251.198.196:50010,blk_1122812501843755360,0,65,2,82,37,42,1,0,0,0,1,0
081110 221932 19 INFO dfs.FSNamesystem: BLOCK* ask 10.251.122.79:50010 to delete  blk_8048594464172649365,blk_8048594464172649365,3,139,5,42,90,87,2,1,1,0,1,0
081110 212942 15258 INFO dfs.DataNode$PacketResponder: Received block blk_-2242088550278361724 of size 67108864 from /10.251.123.20,blk_-2242088550278361724,1,105,2,97,50,44,0,0,0,0,1,0
081110 214404 15111 INFO dfs.DataNode$PacketResponder: Received block blk_1188202922232921994 of size 67108864 from /10.250.10.100,blk_1188202922232921994,2,89,0,93,47,37,0,0,0,0,0,0
081111 065803 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.67:50010 is added to blk_-8483420270408348004 size 67108864,blk_-8483420270408348004,2,105,1,85,45,30,1,0,0,0,1,0
081110 231904 17028 WARN dfs.DataNode$DataXceiver: 10.251.75.143:50010:Got exception while serving blk_2262752117989012641 to /10.250.13.188:,blk_2262752117989012641,0,96,1,88,32,52,0,0,0,0,0,0
